name,type,path,defaultColor,tags
leaf,organic,"M0,-1 Q1,-0.5 0.5,0 Q0,0.5 -0.5,0 Q-1,-0.5 0,-1",#10b981,organic,nature
drop,organic,"M0,-1 Q1,0 0,1 Q-1,0 0,-1",#3b82f6,organic,nature
flower,organic,"M0,-1 Q0.5,-0.8 0.8,-0.3 Q1,0.2 0.5,0.5 Q0,0.8 -0.5,0.5 Q-1,0.2 -0.8,-0.3 Q-0.5,-0.8 0,-1",#ec4899,organic,nature
cloud,organic,"M-1.2,0.4 Q-1.2,-0.4 -0.6,-0.6 Q-0.4,-1.2 0.2,-1.2 Q0.8,-1.2 1.0,-0.6 Q1.6,-0.4 1.6,0.2 Q1.6,0.6 1.2,0.8 Q0.8,1.2 0.2,1.2 Q-0.4,1.2 -0.8,0.8 Q-1.2,0.6 -1.2,0.4",#9ca3af,organic,nature
vine,organic,"M0,1 Q-0.3,0.5 -0.5,0 Q-0.3,-0.5 0,-1 Q0.3,-0.5 0.5,0 Q0.3,0.5 0,1",#10b981,organic,nature
feather,organic,"M0,-1 Q0.5,-0.7 1,-0.3 Q0.5,0 0,0.3 Q-0.5,0 -1,-0.3 Q-0.5,-0.7 0,-1",#9ca3af,organic,nature
shell,organic,"M0,-1 Q0.8,-0.5 1,0 Q0.8,0.5 0,1 Q-0.8,0.5 -1,0 Q-0.8,-0.5 0,-1",#f5cba7,organic,nature
petal,organic,"M0,-0.5 Q0.5,-0.3 0.5,0 Q0.5,0.3 0,0.5 Q-0.5,0.3 -0.5,0 Q-0.5,-0.3 0,-0.5",#ff6b81,organic,nature
mushroom,organic,"M-0.3,-0.5 L0.3,-0.5 L0.3,-1 L-0.3,-1 Z M-0.6,0 L0.6,0 L0.4,0.5 L-0.4,0.5 Z",#e8a87c,organic,nature
tree,organic,"M0,-1 L-0.2,-0.5 L0.2,-0.5 Z M-0.5,0 L0.5,0 L0.3,0.5 L-0.3,0.5 Z M-0.8,1 L0.8,1 L0.4,0.5 L-0.4,0.5 Z",#2d5016,organic,nature
